INSTITUICAO_ENSINO_ALUNO_2024,NOME,IDADE_ALUNO_2024,ANOS_PM_2024,FASE_TURMA_2024,PONTO_VIRADA_2024,INDE_2024,INDE_CONCEITO_2024,PEDRA_2024,DESTAQUE_IEG_2024,DESTAQUE_IDA_2024,DESTAQUE_IPV_2024,IAA_2024,IEG_2024,IPS_2024,IDA_2024,IPP_2024,IPV_2024,IAN_2024
Escola Pública,Aluno-1275,8,2,ALFA,,"7,611366667",B,Ametista,,,,"10,0","8,7","6,3","8,0","5,6","5,4",10
Escola Pública,Aluno-1276,8,2,ALFA,,"8,002866667",B,Topázio,,,,"10,0","9,3","3,8","8,0","7,5","7,1",10
Escola Pública,Aluno-1277,8,2,ALFA,,"7,9522",D,Ametista,,,,"10,0","9,1","3,8","8,0","7,5","7,0",10
Escola Pública,Aluno-868,8,1,ALFA,,"7,156366667",B,Ametista,,,,"8,0","9,8","3,8","7,0","6,9","7,2",5
Rede Decisão/União,Aluno-1278,9,3,ALFA,,"5,4442",B,Quartzo,,,,"9,0","4,2","3,8","7,5","5,0","4,2",5
Escola Pública,Aluno-1279,9,1,ALFA,,"8,0822",D,Topázio,,,,"10,0","10,0","6,3","8,3","7,5","7,8",5
Escola Pública,Aluno-861,9,0,ALFA,,"8,9597",A,Topázio,,,,"9,5","10,0","7,5","10,0","8,1","9,7",5
Rede Decisão/União,Aluno-862,10,3,ALFA,,"7,346677273",D,Ametista,,,,"9,0","8,6","7,5","7,5","7,2","6,3",5
Escola Pública,Aluno-1280,9,2,ALFA,,"8,152624243",C,Topázio,,,,"10,0","9,5","6,3","8,5","7,5","8,3",5
Escola Pública,Aluno-1281,9,1,ALFA,,"7,982890909",D,Ametista,,,,"7,9","9,5","6,3","9,3","7,5","7,8",5
Escola Pública,Aluno-895,9,2,ALFA,,"8,257957576",B,Topázio,,,,"9,5","9,5","6,3","9,5","7,5","8,1",5
Escola Pública,Aluno-884,8,3,ALFA,,"8,03450303",C,Topázio,,,,"10,0","8,8","6,3","8,8","7,5","8,2",5
Rede Decisão/União,Aluno-1282,9,2,ALFA,,"7,876927273",A,Ametista,,,,"9,5","8,1","6,3","9,3","7,5","7,9",5
Escola Pública,Aluno-889,9,0,ALFA,,"8,191290909",C,Topázio,,,,"8,5","9,3","6,3","9,8","7,5","8,3",5
Escola Pública,Aluno-867,9,0,ALFA,,"7,583018182",C,Ametista,,,,"9,0","7,4","7,5","8,5","7,5","7,5",5
Escola Pública,Aluno-1283,10,2,ALFA,,"8,303353846",B,Topázio,,,,"10,0","9,2","7,5","9,0","7,5","8,3",5
Escola Pública,Aluno-891,10,3,ALFA,,"8,035957576",C,Topázio,,,,"10,0","9,0","6,3","8,8","7,5","8,0",5
Escola Pública,Aluno-1284,8,1,ALFA,,"8,380015217",B,Topázio,,,,"9,0","9,3","2,5","10,0","7,8","7,9",10
Escola Pública,Aluno-1012,9,2,ALFA,,"8,057128571",C,Topázio,,,,"9,5","9,5","2,5","9,8","8,1","8,4",5
Escola Pública,Aluno-1285,7,3,ALFA,,"8,156578882",B,Topázio,,,,"10,0","8,8","2,5","8,0","7,5","8,9",10
Escola Pública,Aluno-1286,7,0,ALFA,,"5,914801967",B,Quartzo,,,,"8,0","5,1","2,5","7,0","5,3","4,6",10
Escola Pública,Aluno-1287,8,2,ALFA,,"7,619650311",B,Ametista,,,,"10,0","9,3","2,5","7,8","8,1","8,2",5
Escola Pública,Aluno-1288,7,0,ALFA,,"7,920889959",C,Ametista,,,,"9,0","8,0","2,5","10,0","7,2","7,3",10
Escola Pública,Aluno-1289,10,1,ALFA,,"7,217172222",C,Ametista,,,,"7,0","9,4","7,5","7,8","5,9","6,2",5
Escola Pública,Aluno-1290,9,0,ALFA,,"8,4072",C,Topázio,,,,"10,0","10,0","7,5","8,8","7,5","8,3",5
Escola Pública,Aluno-1291,9,1,ALFA,,"8,0792",A,Topázio,,,,"9,5","9,5","7,5","8,3","7,5","7,9",5
Escola Pública,Aluno-885,9,2,ALFA,,"8,2072",B,Topázio,,,,"8,5","10,0","7,5","8,5","7,5","8,3",5
Einstein,Aluno-1292,9,4,ALFA,,"6,903162121",A,Agata,,,,"7,5","4,8","7,5","8,3","7,2","7,9",5
Rede Decisão/União,Aluno-1293,9,3,ALFA,,"8,005023232",C,Topázio,,,,"8,0","9,5","7,5","8,5","6,9","8,3",5
Rede Decisão/União,Aluno-888,8,2,ALFA,,"8,1942",B,Topázio,,,,"9,0","10,0","6,9","8,5","7,5","8,3",5
Escola Pública,Aluno-1294,10,0,ALFA,,"7,949366667",C,Ametista,,,,"9,5","10,0","7,5","7,8","6,9","7,6",5
Rede Decisão/União,Aluno-1009,9,4,ALFA,,"6,395389394",B,Agata,,,,"8,0","6,9","2,5","7,5","6,6","6,6",5
Escola Pública,Aluno-1013,8,0,ALFA,,"5,783955981",D,Quartzo,,,,"9,0","5,7","2,5","7,8","5,0","4,7",5
Escola Pública,Aluno-1295,8,0,ALFA,,"8,061745455",C,Topázio,,,,"10,0","9,5","2,5","7,5","7,5","8,3",10
Escola Pública,Aluno-1296,9,0,ALFA,,"7,057422222",D,Ametista,,,,"9,0","8,4","2,5","6,5","7,5","8,3",5
Escola Pública,Aluno-863,8,1,ALFA,,"4,668434848",B,Quartzo,,,,"8,5","3,2","2,5","5,5","4,7","4,3",5
Rede Decisão/União,Aluno-1297,8,1,ALFA,,"7,620247619",A,Ametista,,,,"9,5","9,8","2,5","9,3","7,5","6,8",5
Escola Pública,Aluno-1014,8,0,ALFA,,"6,315972727",A,Agata,,,,"8,5","7,9","2,5","5,3","6,9","7,0",5
Escola Pública,Aluno-880,8,3,ALFA,,"6,853080435",B,Agata,,,,"9,5","8,4","2,5","6,5","7,2","7,2",5
Escola Pública,Aluno-886,8,1,ALFA,,"8,4192",C,Topázio,,,,"9,5","10,0","8,1","8,8","7,5","8,3",5
Escola Pública,Aluno-1298,8,1,ALFA,,"7,577287995",B,Ametista,,,,"9,5","6,6","7,5","6,8","7,2","7,4",10
Escola Pública,Aluno-1299,10,0,ALFA,,"7,069727778",B,Ametista,,,,"8,5","7,6","7,5","6,5","7,2","7,1",5
Rede Decisão/União,Aluno-904,8,4,ALFA,,"7,6352",B,Ametista,,,,"9,5","8,8","7,5","6,0","7,5","8,7",5
Escola Pública,Aluno-1300,8,0,ALFA,,"7,623866667",A,Ametista,,,,"8,5","8,8","2,5","9,0","7,5","8,6",5
Escola Pública,Aluno-1301,8,1,ALFA,,"5,634533333",C,Quartzo,,,,"9,5","2,9","2,5","7,0","7,5","6,0",5
Escola Pública,Aluno-1302,8,1,ALFA,,"5,758866667",D,Quartzo,,,,"10,0","5,4","2,5","4,0","6,3","5,0",10
Rede Decisão/União,Aluno-1303,8,4,ALFA,,"8,8352",B,Topázio,,,,"10,0","10,0","2,5","10,0","7,5","9,2",10
Rede Decisão/União,Aluno-1304,10,2,ALFA,,"7,085119935",A,Ametista,,,,"9,0","8,0","8,1","6,0","7,8","6,5",5
Escola Pública,Aluno-1305,10,1,ALFA,,"6,68522193",B,Agata,,,,"8,5","8,7","2,5","4,8","7,8","8,1",5
Escola Pública,Aluno-1306,8,1,ALFA,,"8,503033333",C,Topázio,,,,"9,0","10,0","8,1","9,8","7,5","7,9",5
Escola Pública,Aluno-702,10,2,ALFA,,"7,665116667",C,Ametista,,,,"9,0","9,8","2,5","9,3","7,8","7,2",5
Escola Pública,Aluno-725,10,1,ALFA,,"7,090077193",C,Ametista,,,,"7,5","7,7","7,5","7,3","7,5","6,8",5
Escola Pública,Aluno-912,10,1,ALFA,,"7,697103509",B,Ametista,,,,"9,0","9,5","7,5","7,3","8,1","6,9",5
Escola Pública,Aluno-918,8,1,ALFA,,"5,657357018",C,Quartzo,,,,"7,9","8,7","2,5","2,8","5,9","6,2",5
Escola Pública,Aluno-920,9,2,ALFA,,"7,74949386",B,Ametista,,,,"9,5","7,7","7,5","8,3","7,2","8,2",5
Escola Pública,Aluno-1307,8,2,ALFA,,"6,594033333",C,Agata,,,,"10,0","5,8","6,3","5,5","6,3","5,4",10
Escola Pública,Aluno-1308,9,0,ALFA,,"6,876997101",B,Agata,,,,"10,0","7,4","7,5","6,0","7,5","5,9",5
Escola Pública,Aluno-1309,7,0,ALFA,,"8,3792",A,Topázio,,,,"9,0","9,2","7,5","7,5","7,5","8,2",10
Escola Pública,Aluno-1310,7,0,ALFA,,"8,390783333",A,Topázio,,,,"8,5","9,4","2,5","10,0","7,8","8,2",10
Escola Pública,Aluno-1311,8,0,ALFA,,"6,411866667",B,Agata,,,,"9,0","9,2","2,5","0,0","7,5","8,4",10
Escola Pública,Aluno-1312,9,0,ALFA,,"7,5102",C,Ametista,,,,"10,0","8,3","7,5","6,5","6,3","8,3",5
Escola Pública,Aluno-1313,8,2,ALFA,,"8,015533333",C,Topázio,,,,"9,5","8,1","7,5","6,3","7,5","8,4",10
Escola Pública,Aluno-1314,7,1,ALFA,,"8,2398",B,Topázio,,,,"7,4","8,5","7,5","9,0","7,5","7,4",10
Escola Pública,Aluno-1315,7,1,ALFA,,"8,351066667",D,Topázio,,,,"6,8","8,3","7,5","9,0","7,5","8,5",10
Escola Pública,Aluno-921,8,0,ALFA,,"7,283820321",B,Ametista,,,,"8,5","8,7","7,5","6,0","7,5","7,5",5
Escola Pública,Aluno-1316,9,1,ALFA,,"7,59291123",B,Ametista,,,,"9,0","8,2","7,5","7,8","7,5","7,5",5
Escola Pública,Aluno-1317,9,1,ALFA,,"7,665638503",B,Ametista,,,,"7,5","7,1","7,5","10,0","7,5","7,5",5
Escola Pública,Aluno-897,10,0,ALFA,,"5,221205051",C,Quartzo,,,,"7,0","2,8","2,5","6,0","6,9","6,7",5
Escola Pública,Aluno-908,9,1,ALFA,,"6,764292246",D,Agata,,,,"8,5","8,1","7,5","4,8","7,2","6,8",5
Escola Pública,Aluno-916,10,3,ALFA,,"5,505853162",B,Quartzo,,,,"8,5","7,3","2,5","2,8","6,6","6,2",5
Escola Pública,Aluno-924,9,1,ALFA,,"6,472736096",B,Agata,,,,"7,0","4,6","7,5","7,0","7,2","7,4",5
Escola Pública,Aluno-925,8,1,ALFA,,"6,587019519",B,Agata,,,,"8,0","7,0","7,5","4,8","7,2","7,3",5
Escola Pública,Aluno-1008,9,2,ALFA,,"6,866741444",D,Agata,,,,"7,0","6,5","7,5","7,0","7,2","7,5",5
Escola Pública,Aluno-919,10,0,ALFA,,"5,799702674",C,Quartzo,,,,"7,0","4,7","6,3","5,3","6,9","6,5",5
Rede Decisão/União,Aluno-1318,8,1,ALFA,,"6,823383155",B,Agata,,,,"8,5","7,7","7,5","5,0","7,2","7,3",5
Escola Pública,Aluno-1003,9,2,ALFA,,"7,627588889",C,Ametista,,,,"8,0","8,7","7,5","8,3","6,9","7,5",5
Escola Pública,Aluno-1004,9,1,ALFA,,"7,8012",D,Ametista,,,,"9,5","9,3","7,5","7,5","7,5","7,5",5
Escola Pública,Aluno-1006,9,1,ALFA,,"7,040088889",C,Ametista,,,,"8,5","8,4","7,5","5,0","7,5","7,5",5
Escola Pública,Aluno-1319,9,1,ALFA,,"7,201526797",B,Ametista,,,,"8,5","5,8","7,5","8,5","7,5","7,5",5
Rede Decisão/União,Aluno-858,9,1,ALFA,,"6,917866667",B,Agata,,,,"9,0","6,8","2,5","8,3","7,5","7,5",5
Rede Decisão/União,Aluno-905,10,3,ALFA,,"6,392582353",B,Agata,,,,"9,0","7,8","7,5","3,0","6,9","7,0",5
Escola Pública,Aluno-907,9,1,ALFA,,"7,940088889",D,Ametista,,,,"9,0","8,9","7,5","8,8","7,5","7,5",5
Rede Decisão/União,Aluno-1320,10,2,ALFA,,"7,884533333",C,Ametista,,,,"9,0","9,2","7,5","8,3","7,5","7,5",5
Escola Pública,Aluno-909,11,1,ALFA,,"7,722033333",C,Ametista,,,,"10,0","8,2","7,5","8,3","6,9","7,5",5
Escola Pública,Aluno-729,10,2,ALFA,,"6,684533333",D,Agata,,,,"8,0","8,4","2,5","6,0","7,5","7,5",5
Escola Pública,Aluno-1321,7,2,ALFA,,"7,95295",D,Ametista,,,,"9,0","8,9","6,9","8,8","6,6","5,9",10
Estácio,Aluno-1322,8,4,ALFA,,"8,47795",B,Topázio,,,,"9,5","9,0","7,5","7,5","8,4","8,2",10
Escola Pública,Aluno-1323,9,2,ALFA,,"7,487366667",B,Ametista,,,,"10,0","9,1","7,5","7,0","6,9","6,7",5
Escola Pública,Aluno-1324,9,3,ALFA,,"8,33245",C,Topázio,,,,"10,0","10,0","7,5","8,5","7,8","8,0",5
Escola Pública,Aluno-931,9,1,ALFA,,"7,075466667",B,Ametista,,,,"7,9","8,6","2,5","8,5","7,5","6,8",5
Escola Pública,Aluno-1325,8,1,ALFA,,"8,982495455",B,Topázio,,,,"9,0","9,5","7,5","10,0","8,4","7,9",10
Escola Pública,Aluno-1326,8,1,ALFA,,"7,639783333",B,Ametista,,,,"9,0","9,3","7,5","4,5","7,8","7,2",10
Escola Pública,Aluno-1327,7,0,ALFA,,"8,264116667",B,Topázio,,,,"9,0","9,3","7,5","7,5","7,8","7,3",10
Escola Pública,Aluno-1328,8,4,ALFA,,"8,058866667",D,Topázio,,,,"8,5","8,2","7,5","10,0","7,5","7,8",5
Einstein,Aluno-1329,8,3,ALFA,,"7,98945",B,Ametista,,,,"9,5","10,0","7,5","6,5","6,6","6,7",10
Escola Pública,Aluno-1330,8,2,ALFA,,"8,944616667",B,Topázio,,,,"10,0","9,3","7,5","9,5","8,4","7,9",10
Escola Pública,Aluno-1331,7,2,ALFA,,"7,852283333",B,Ametista,,,,"9,0","7,3","7,5","7,3","8,4","7,2",10
Escola Pública,Aluno-944,10,0,ALFA,,"7,8262",C,Ametista,,,,"9,0","7,3","7,5","9,0","8,8","7,8",5
Escola Pública,Aluno-1332,10,0,ALFA,,"8,104052941",C,Topázio,,,,"8,5","9,4","7,5","8,3","9,4","7,7",5
Escola Pública,Aluno-754,11,2,ALFA,,"5,6127",B,Quartzo,,,,"8,5","6,3","5,6","6,3","2,5","4,8",5
Escola Pública,Aluno-1333,9,0,ALFA,,"8,2132",C,Topázio,,,,"7,5","10,0","6,3","9,3","9,4","7,8",5
Rede Decisão/União,Aluno-934,9,3,ALFA,,"8,3387",A,Topázio,,,,"9,5","9,8","7,5","8,5","9,4","7,8",5
Escola Pública,Aluno-1334,9,2,ALFA,,"8,3502",D,Topázio,,,,"10,0","10,0","5,6","9,0","9,4","7,8",5
Escola Pública,Aluno-941,9,4,ALFA,,"7,7467",A,Ametista,,,,"8,0","9,3","5,0","8,8","8,1","7,7",5
Rede Decisão/União,Aluno-756,11,3,ALFA,,"7,3617",C,Ametista,,,,"10,0","8,8","7,5","5,5","8,1","7,2",5
Escola Pública,Aluno-1335,10,1,ALFA,,"8,3217",A,Topázio,,,,"9,0","9,8","7,5","8,8","9,4","7,7",5
Escola Pública,Aluno-773,10,3,ALFA,,"6,5662",D,Agata,,,,"10,0","8,8","2,5","5,0","7,5","6,6",5
Escola Pública,Aluno-938,10,1,ALFA,,"8,005602692",C,Topázio,,,,"9,5","9,5","7,5","7,8","8,1","7,7",5
Escola Pública,Aluno-1336,8,4,ALFA,,"7,141365632",B,Ametista,,,,"9,5","6,2","2,5","9,5","7,5","7,8",5
Escola Pública,Aluno-1337,10,1,ALFA,,"6,015144444",B,Agata,,,,"8,0","4,7","7,5","6,0","6,9","5,7",5
Escola Pública,Aluno-1338,8,2,ALFA,,"6,136842857",D,Agata,,,,"8,0","8,7","7,5","3,0","6,9","5,3",5
Escola Pública,Aluno-1339,8,2,ALFA,,"7,3547",D,Ametista,,,,"8,5","10,0","6,9","8,8","5,0","5,3",5
Escola Pública,Aluno-1340,8,0,ALFA,,"8,342271429",B,Topázio,,,,"9,5","8,4","7,5","10,0","5,6","7,0",10
Escola Pública,Aluno-1341,9,1,ALFA,,"7,862906349",A,Ametista,,,,"10,0","9,2","7,5","10,0","5,6","6,0",5
Rede Decisão/União,Aluno-947,9,3,ALFA,,"6,053509524",B,Agata,,,,"9,0","7,6","7,5","4,5","5,6","4,6",5
Escola Pública,Aluno-1342,8,1,ALFA,,"7,818580952",C,Ametista,,,,"9,5","9,8","7,5","9,0","7,5","5,6",5
Escola Pública,Aluno-1343,7,2,ALFA,,"8,8262",B,Topázio,,,,"8,0","10,0","7,5","9,8","6,3","8,5",10
Escola Pública,Aluno-1344,8,1,ALFA,,"9,3612",A,Topázio,,,,"8,5","10,0","7,5","10,0","8,8","9,4",10
UNISA,Aluno-945,9,1,ALFA,,"7,419580952",D,Ametista,,,,"9,0","9,5","2,5","8,8","7,5","6,8",5
Escola Pública,Aluno-946,8,1,ALFA,,"6,67772381",A,Agata,,,,"9,5","8,8","2,5","4,5","7,5","7,8",5
Escola Pública,Aluno-1345,9,1,ALFA,,"7,234012866",B,Ametista,,,,"8,5","9,5","7,5","6,3","6,3","6,8",5
Escola Pública,Aluno-771,9,1,ALFA,,"6,066009524",A,Agata,,,,"8,5","6,6","3,1","6,5","5,6","6,1",5
Escola Pública,Aluno-1346,8,1,ALFA,,"7,370104762",C,Ametista,,,,"9,5","8,1","7,5","5,5","6,3","6,7",10
Escola Pública,Aluno-1347,9,4,ALFA,,"6,153842857",A,Agata,,,,"8,5","8,8","2,5","5,0","5,6","6,2",5
Rede Decisão/União,Aluno-949,9,2,ALFA,,"7,132342857",B,Ametista,,,,"9,0","8,8","7,5","6,5","6,3","6,5",5
Escola Pública,Aluno-950,9,0,ALFA,,"7,693461905",D,Ametista,,,,"9,5","9,0","7,5","7,0","6,9","8,0",5
Escola Pública,Aluno-951,8,1,ALFA,,"6,448342857",D,Agata,,,,"10,0","9,0","2,5","4,0","6,3","7,3",5
Rede Decisão/União,Aluno-1002,10,4,ALFA,,"7,967866667",D,Ametista,,,,"9,0","7,8","7,5","9,3","7,5","8,3",5
Escola Pública,Aluno-774,10,1,ALFA,,"5,685771429",D,Quartzo,,,,"10,0","6,4","2,5","3,8","6,3","6,4",5
Rede Decisão/União,Aluno-749,10,1,ALFA,,"8,337318421",B,Topázio,,,,"9,5","9,7","8,1","8,8","8,4","7,7",5
Escola Pública,Aluno-929,9,1,ALFA,,"7,724436842",C,Ametista,,,,"9,0","9,5","7,5","6,8","8,1","7,6",5
Escola Pública,Aluno-930,9,3,ALFA,,"7,929818421",B,Ametista,,,,"8,5","9,7","7,5","8,0","7,8","7,5",5
Escola Pública,Aluno-787,10,2,ALFA,,"7,73495",C,Ametista,,,,"9,0","9,8","7,5","7,3","7,2","7,3",5
Escola Pública,Aluno-1348,8,1,ALFA,,"7,960466254",B,Ametista,,,,"7,5","8,6","7,5","9,0","8,8","7,8",5
Escola Pública,Aluno-935,10,1,ALFA,,"8,3422",A,Topázio,,,,"9,5","10,0","7,5","8,5","8,8","7,8",5
Rede Decisão/União,Aluno-1349,10,1,ALFA,,"7,855727778",A,Ametista,,,,"8,0","8,4","7,5","8,5","8,4","7,9",5
Escola Pública,Aluno-937,9,0,ALFA,,"8,3792",C,Topázio,,,,"10,0","10,0","9,4","7,5","8,8","7,8",5
Rede Decisão/União,Aluno-1350,10,3,ALFA,,"8,33545",B,Topázio,,,,"8,5","10,0","8,8","8,5","8,4","7,8",5
Rede Decisão/União,Aluno-1351,9,4,ALFA,,"8,186103846",B,Topázio,,,,"9,0","9,2","8,1","8,8","8,4","7,7",5
Escola Pública,Aluno-959,9,1,ALFA,,"8,379818421",B,Topázio,,,,"10,0","9,7","7,5","9,5","7,8","7,5",5
Escola Pública,Aluno-1352,9,1,ALFA,,"8,28995",B,Topázio,,,,"10,0","9,5","8,1","8,5","8,4","7,7",5
Rede Decisão/União,Aluno-1353,10,2,ALFA,,"6,4547",B,Agata,,,,"8,0","9,5","7,5","3,0","6,9","6,1",5
Escola Pública,Aluno-1354,10,1,ALFA,,"7,353427273",C,Ametista,,,,"9,5","8,4","7,5","6,0","8,1","7,3",5
Escola Pública,Aluno-979,9,3,ALFA,,"8,035245455",C,Topázio,,,,"9,5","9,5","7,5","8,3","8,1","7,3",5
Escola Pública,Aluno-1355,10,2,ALFA,,"7,202245455",D,Ametista,,,,"10,0","6,5","7,5","7,0","8,1","7,2",5
Escola Pública,Aluno-971,9,2,ALFA,,"6,891618182",C,Agata,,,,"7,4","7,9","7,5","6,8","7,5","6,1",5
Escola Pública,Aluno-972,9,3,ALFA,,"7,537472727",C,Ametista,,,,"9,5","8,4","7,5","6,8","8,8","7,2",5
Escola Pública,Aluno-965,10,2,ALFA,,"6,137654546",B,Agata,,,,"9,0","6,5","7,5","2,3","8,8","6,8",5
Escola Pública,Aluno-973,10,1,ALFA,,"6,931836364",B,Agata,,,,"10,0","9,3","7,5","3,8","7,5","6,6",5
Escola Pública,Aluno-1356,8,2,ALFA,,"7,869588889",C,Ametista,,,,"9,0","9,4","7,5","5,5","8,1","7,1",10
Escola Pública,Aluno-966,10,0,ALFA,,"7,994336364",B,Ametista,,,,"9,5","8,6","7,5","9,0","8,1","7,3",5
Escola Pública,Aluno-1357,9,0,ALFA,,"7,1807",D,Ametista,,,,"8,0","7,5","7,5","6,8","8,1","7,3",5
Escola Pública,Aluno-969,9,0,ALFA,,"7,453427273",C,Ametista,,,,"9,0","7,9","7,5","7,3","8,1","7,3",5
Escola Pública,Aluno-1358,7,1,ALFA,,"6,552990476",B,Agata,,,,"9,2","7,4","5,0","4,0","6,3","6,2",10
Escola Pública,Aluno-1359,7,0,ALFA,,"7,2102",C,Ametista,,,,"8,5","9,0","5,6","6,0","5,6","6,2",10
Escola Pública,Aluno-1360,8,1,ALFA,,"6,848062319",A,Agata,,,,"8,5","7,0","7,5","5,0","5,6","6,4",10
Escola Pública,Aluno-1361,8,1,ALFA,,"8,7387",D,Topázio,,,,"9,5","9,4","5,6","10,0","7,5","8,0",10
Escola Pública,Aluno-975,8,3,ALFA,,"7,146366667",B,Ametista,,,,"8,5","7,7","5,0","8,0","6,9","7,3",5
Escola Pública,Aluno-1362,7,0,ALFA,,"7,7092",B,Ametista,,,,"10,0","6,9","5,6","8,5","6,9","6,9",10
Escola Pública,Aluno-977,8,1,ALFA,,"7,188033333",C,Ametista,,,,"10,0","7,3","6,3","7,0","6,9","7,6",5
Escola Pública,Aluno-1363,7,2,ALFA,,"7,6908",C,Ametista,,,,"7,4","10,0","5,6","6,5","6,9","7,0",10
Estácio,Aluno-981,8,4,ALFA,,"6,651373913",B,Agata,,,,"9,0","7,0","6,3","6,0","6,3","7,0",5
UNISA,Aluno-1364,9,1,ALFA,,"7,570033333",C,Ametista,,,,"8,0","8,4","7,5","8,8","6,9","7,0",5
Escola Pública,Aluno-1365,9,1,ALFA,,"7,370033333",A,Ametista,,,,"9,0","9,8","6,3","6,5","6,9","7,0",5
Rede Decisão/União,Aluno-1366,8,2,ALFA,,"6,919852174",B,Agata,,,,"9,0","6,6","7,5","6,5","7,5","7,0",5
Escola Pública,Aluno-974,8,1,ALFA,,"7,607721739",D,Ametista,,,,"9,5","9,3","7,5","6,5","7,5","7,5",5
Escola Pública,Aluno-1367,8,1,ALFA,,"8,427286957",B,Topázio,,,,"10,0","8,4","7,5","8,8","7,5","7,5",10
Escola Pública,Aluno-1368,8,1,ALFA,,"8,6012",A,Topázio,,,,"7,0","10,0","7,5","9,5","7,5","7,5",10
Escola Pública,Aluno-1369,7,0,ALFA,,"8,052286957",B,Topázio,,,,"8,5","8,6","6,3","8,0","7,5","7,5",10
Escola Pública,Aluno-978,8,1,ALFA,,"7,4637",A,Ametista,,,,"9,5","9,5","6,3","6,5","6,9","7,5",5
Escola Pública,Aluno-1370,9,0,ALFA,,"8,045644444",C,Topázio,,,,"10,0","8,7","7,5","9,0","7,5","7,5",5
Escola Pública,Aluno-1371,11,0,ALFA,,"6,484352174",B,Agata,,,,"7,5","7,0","7,5","4,5","6,9","7,5",5
Escola Pública,Aluno-1372,8,1,ALFA,,"7,9632",C,Ametista,,,,"9,5","10,0","8,1","4,8","7,5","7,5",10
Escola Pública,Aluno-1373,9,1,ALFA,,"7,577286957",D,Ametista,,,,"9,5","8,9","7,5","6,8","7,5","7,5",5
Rede Decisão/União,Aluno-1374,9,4,ALFA,,"7,370765217",D,Ametista,,,,"9,5","9,3","7,5","5,3","7,5","7,5",5
Escola Pública,Aluno-1375,9,1,ALFA,,"8,1012",B,Topázio,,,,"9,5","10,0","7,5","8,3","7,5","7,5",5
Escola Pública,Aluno-1376,9,0,ALFA,,"8,274276923",C,Topázio,,,,"9,0","9,6","7,5","9,8","7,5","7,5",5
Rede Decisão/União,Aluno-994,9,3,ALFA,,"7,798221739",B,Ametista,,,,"9,0","9,5","6,9","8,3","6,9","7,3",5
Escola Pública,Aluno-1377,8,3,ALFA,,"7,8987",B,Ametista,,,,"9,0","10,0","8,1","5,5","6,9","7,0",10
Escola Pública,Aluno-1378,10,1,ALFA,,"7,670342857",B,Ametista,,,,"9,0","9,3","8,1","6,8","7,5","7,5",5
Escola Pública,Aluno-1379,8,0,ALFA,,"6,638292105",B,Agata,,,,"9,5","8,7","3,8","7,3","5,9","5,2",5
Rede Decisão/União,Aluno-1380,8,4,ALFA,,"7,964342231",A,Ametista,,,,"9,5","8,8","4,4","8,0","7,2","7,5",10
Escola Pública,Aluno-770,9,2,ALFA,,"7,305711278",D,Ametista,,,,"10,0","9,0","7,5","5,0","7,5","7,5",5
Escola Pública,Aluno-1381,8,2,ALFA,,"9,0382",B,Topázio,,,,"9,5","10,0","8,1","9,5","8,8","7,5",10
Escola Pública,Aluno-1382,9,2,ALFA,,"7,834830952",B,Ametista,,,,"8,5","9,8","7,5","7,5","7,8","7,5",5
FIAP,Aluno-1383,8,2,ALFA,,"8,372080326",A,Topázio,,,,"8,5","9,3","7,5","8,5","7,2","7,5",10
Rede Decisão/União,Aluno-1384,10,4,ALFA,,"6,221984461",B,Agata,,,,"8,0","7,6","7,5","5,0","6,3","5,2",5
Escola Pública,Aluno-1385,8,0,ALFA,,"7,7262",B,Ametista,,,,"10,0","10,0","4,4","8,0","6,9","7,5",5
Escola Pública,Aluno-1386,8,1,ALFA,,"7,803580952",D,Ametista,,,,"9,0","9,8","7,5","7,3","7,5","7,5",5
Escola Pública,Aluno-1387,8,1,ALFA,,1900-01-06 19:16:26,A,Ametista,,,,"9,5","8,8","7,5","8,0","7,5","7,5",5
Escola Pública,Aluno-1388,8,1,ALFA,,"7,015057143",B,Ametista,,,,"9,0","8,2","6,9","5,0","7,5","7,7",5
Escola Pública,Aluno-1389,7,1,ALFA,,"8,980533333",B,Topázio,,,,"9,0","9,8","6,9","10,0","7,5","8,4",10
Escola Pública,Aluno-1390,7,0,ALFA,,"8,493033333",A,Topázio,,,,"9,5","9,8","5,0","8,3","7,5","8,4",10
Escola Pública,Aluno-1391,7,1,ALFA,,"8,843533333",C,Topázio,,,,"8,5","9,3","7,5","10,0","7,5","8,2",10
Escola Pública,Aluno-1392,9,4,ALFA,,"5,4262",D,Quartzo,,,,"9,0","5,6","7,5","0,0","7,5","7,0",5
Escola Pública,Aluno-1393,7,1,ALFA,,"7,2597",C,Ametista,,,,"9,5","7,5","3,8","5,0","7,5","8,4",10
Escola Pública,Aluno-990,10,1,1A,,"7,812283333",B,Ametista,,,,"9,5","7,5","7,5","8,0","8,4","8,3",5
Escola Pública,Aluno-1394,10,1,1A,,"7,503255556",D,Ametista,,,,"9,5","8,7","7,5","5,8","8,1","8,0",5
Escola Pública,Aluno-991,10,1,1A,,"7,057230303",B,Ametista,,,,"9,0","8,2","6,3","6,5","7,5","6,7",5
Rede Decisão/União,Aluno-1018,10,3,1A,,"7,705404545",B,Ametista,,,,"8,5","7,7","6,3","8,3","8,4","8,5",5
